movie_id,movie_name,movie_streaming_service,movie_genre1,movie_genre2,movie_IMDB_rating,movie_RT_rating,movie_our_rating,movie_description,movie_keyword1,movie_keyword2,movie_keyword3,movie_suggester_name,movie_image,movie_completed,is_free,price,runtime_minutes,movie_director
1,Tetris,Apple TV+,Drama,Historical,7.4,82,7,"Henk Rogers discovers Tetris in 1988, and then risks everything by travelling to the Soviet Union, where he joins forces with inventor Alexey Pajitnov to bring the game to the masses.",,,,James,,TRUE,TRUE,,118,Jon S. Baird
2,John Tucker must Die,Hulu,Romance,Comedy,5.7,27,9,"After discovering they are all dating the same same guy (Jesse Metcalfe), three popular students from different cliques band together for revenge, so they enlist the help of a new gal in town and conspire to break the jerk's heart, while destroying his reputation.",,,,Sarah,,FALSE,TRUE,,90,Betty Thomas
3,The Imitation Game,Netflix,Drama,Historical,8.0,90,8.5,"In 1939, newly created British intelligence agency MI6 recruits Cambridge mathematics alumnus Alan Turing (Benedict Cumberbatch) to crack Nazi codes, including Enigma -- which cryptanalysts had thought unbreakable. Turing's team, including Joan Clarke (Keira Knightley), analyze Enigma messages while he builds a machine to decipher them. Turing and team finally succeed and become heroes, but in 1952, the quiet genius encounters disgrace when authorities reveal he is gay and send him to prison.",,,,Sarah,,TRUE,TRUE,,114,Morten Tyldum
4,Glass Onion a Knives Out Mystery,Netflix,Mystery,Crime,7.1,92,,"Tech billionaire Miles Bron invites his friends for a getaway on his private Greek island. When someone turns up dead, Detective Benoit Blanc is put on the case.",,,,Sarah,,TRUE,TRUE,,139,Rian Johnson
5,Knives Out,Apple TV+,Mystery,Crime,7.9,97,,"The circumstances surrounding the death of crime novelist Harlan Thrombey are mysterious, but there's one thing that renowned Detective Benoit Blanc knows for sure -- everyone in the wildly dysfunctional Thrombey family is a suspect. Now, Blanc must sift through a web of lies and red herrings to uncover the truth.",,,,Sarah,,TRUE,FALSE,3.99,130,Rian Johnson
6,The Menu,Max,Horror,Thriller,7.2,88,,"The film, penned by Will Tracy and Seth Reiss, ""focuses on a young couple who visits an exclusive destination restaurant on a remote island where the acclaimed chef has prepared a lavish tasting menu.""",,,,James,,TRUE,TRUE,,106,Mark Mylod
7,Solo: A Star Wars Story,Disney+,Sci-Fi,Action,6.9,69,,"Young Han Solo finds adventure when he joins forces with a gang of galactic smugglers and a 190-year-old Wookie named Chewbacca. Indebted to the gangster Dryden Vos, the crew devises a daring plan to travel to the mining planet Kessel to steal a batch of valuable coaxium. In need of a fast ship, Solo meets Lando Calrissian, the suave owner of the perfect vessel for the dangerous mission -- the Millennium Falcon.",,,,Sarah,,TRUE,TRUE,,135,Ron Howard
8,Rogue One: A Star Wars Story,Disney+,Sci-Fi,Action,7.8,84,,"Former scientist Galen Erso lives on a farm with his wife and young daughter, Jyn. His peaceful existence comes crashing down when the evil Orson Krennic takes him away from his beloved family. Many years later, Galen becomes the Empire's lead engineer for the most powerful weapon in the galaxy, the Death Star. Knowing that her father holds the key to its destruction, Jyn joins forces with a spy and other resistance fighters to steal the space station's plans for the Rebel Alliance.",,,,Sarah,,TRUE,TRUE,,133,Gareth Edwards
9,Star Wars: Episode IV – A New Hope,Disney+,Space Western,Sci-Fi,8.6,93,,"The Imperial Forces -- under orders from cruel Darth Vader (David Prowse) -- hold Princess Leia (Carrie Fisher) hostage, in their efforts to quell the rebellion against the Galactic Empire. Luke Skywalker (Mark Hamill) and Han Solo (Harrison Ford), captain of the Millennium Falcon, work together with the companionable droid duo R2-D2 (Kenny Baker) and C-3PO (Anthony Daniels) to rescue the beautiful princess, help the Rebel Alliance, and restore freedom and justice to the Galaxy.",,,,Sarah,,TRUE,TRUE,,125,George Lucas
10,Star Wars: Episode V - The Empire Strikes Back,Disney+,Space Western,Sci-Fi,8.7,94,,"The adventure continues in this ""Star Wars"" sequel. Luke Skywalker (Mark Hamill), Han Solo (Harrison Ford), Princess Leia (Carrie Fisher) and Chewbacca (Peter Mayhew) face attack by the Imperial forces and its AT-AT walkers on the ice planet Hoth. While Han and Leia escape in the Millennium Falcon, Luke travels to Dagobah in search of Yoda. Only with the Jedi master's help will Luke survive when the dark side of the Force beckons him into the ultimate duel with Darth Vader (David Prowse).",,,,Sarah,,TRUE,TRUE,,128,Irvin Kershner
11,Star Wars: Episode VI - Return of the Jedi,Disney+,Space Western,Sci-Fi,8.3,8,,"Luke Skywalker (Mark Hamill) battles horrible Jabba the Hut and cruel Darth Vader to save his comrades in the Rebel Alliance and triumph over the Galactic Empire. Han Solo (Harrison Ford) and Princess Leia (Carrie Fisher) reaffirm their love and team with Chewbacca, Lando Calrissian (Billy Dee Williams), the Ewoks and the androids C-3PO and R2-D2 to aid in the disruption of the Dark Side and the defeat of the evil emperor.",,,,Sarah,,TRUE,TRUE,,136,Richard Marquand
12,Star Wars: Episode I - The Phantom Menace,Disney+,Space Western,Sci-Fi,6.5,51,,"Obi-Wan Kenobi (Ewan McGregor) is a young apprentice Jedi knight under the tutelage of Qui-Gon Jinn (Liam Neeson) ; Anakin Skywalker (Jake Lloyd), who will later father Luke Skywalker and become known as Darth Vader, is just a 9-year-old boy. When the Trade Federation cuts off all routes to the planet Naboo, Qui-Gon and Obi-Wan are assigned to settle the matter.",,,,Sarah,,TRUE,TRUE,,137,George Lucas
13,Star Wars: Episode II - Attack of the Clones,Disney+,Space Western,Sci-Fi,6.6,65,,"Set ten years after the events of ""The Phantom Menace,"" the Republic continues to be mired in strife and chaos. A separatist movement encompassing hundreds of planets and powerful corporate alliances poses new threats to the galaxy that even the Jedi cannot stem. These moves, long planned by an as yet unrevealed and powerful force, lead to the beginning of the Clone Wars -- and the beginning of the end of the Republic.",,,,Sarah,,TRUE,TRUE,,143,George Lucas
14,Star Wars: Episode III - Revenge of the Sith,Disney+,Space Western,Sci-Fi,7.6,79,,"It has been three years since the Clone Wars began. Jedi Master Obi-Wan Kenobi (Ewan McGregor) and Jedi Knight Anakin Skywalker (Hayden Christensen) rescue Chancellor Palpatine (Ian McDiarmid) from General Grievous, the commander of the droid armies, but Grievous escapes. Suspicions are raised within the Jedi Council concerning Chancellor Palpatine, with whom Anakin has formed a bond. Asked to spy on the chancellor, and full of bitterness toward the Jedi Council, Anakin embraces the Dark Side.",,,,Sarah,,TRUE,TRUE,,141,George Lucas
15,Star Wars: Episode VII - The Force Awakens,Disney+,Space Western,Sci-Fi,7.8,93,,"Star Wars: The Force Awakens is a 2015 American epic space opera film produced, co-written, and directed by J. J. Abrams. The sequel to Return of the Jedi, it is the seventh film in the ""Skywalker Saga"".",,,,Sarah,,TRUE,TRUE,,141,J. J. Abrams
16,Star Wars: Episode VIII - The Last Jedi,Disney+,Space Western,Sci-Fi,6.9,91,,"Luke Skywalker's peaceful and solitary existence gets upended when he encounters Rey, a young woman who shows strong signs of the Force. Her desire to learn the ways of the Jedi forces Luke to make a decision that changes their lives forever. Meanwhile, Kylo Ren and General Hux lead the First Order in an all-out assault against Leia and the Resistance for supremacy of the galaxy.",,,,Sarah,,TRUE,TRUE,,154,Rian Johnson
17,Star Wars:  Episode IX - The Rise of Skywalker,Disney+,Space Western,Sci-Fi,6.5,52,,"When it's discovered that the evil Emperor Palpatine did not die at the hands of Darth Vader, the rebels must race against the clock to find out his whereabouts. Finn and Poe lead the Resistance to put a stop to the First Order's plans to form a new Empire, while Rey anticipates her inevitable confrontation with Kylo Ren. Warning: Some flashing-lights scenes in this film may affect photosensitive viewers.",,,,Sarah,,TRUE,TRUE,,143,J. J. Abrams
18,Indiana Jones and the Raiders of the Lost Arc,Disney+,Adventure,Action,8.4,93,,"Epic tale in which an intrepid archaeologist tries to beat a band of Nazis to a unique religious relic which is central to their plans for world domination. Battling against a snake phobia and a vengeful ex-girlfriend, Indiana Jones is in constant peril, making hair's-breadth escapes at every turn in this celebration of the innocent adventure movies of an earlier era.",,,,Sarah,,TRUE,TRUE,,115,Steven Spielberg
19,Indiana Jones and the Temple of Doom,Disney+,Adventure,Action,7.5,77,,"Adventure sequel. Intrepid archaeologist Indiana Jones, on the trail of fortune and glory in Old Shanghai, is ricocheted into a dangerous adventure in India. With his faithful companion Short Round and nightclub singer Willie Scott, Indie goes in search of the magical Sankara stone, and uncovers an ancient evil which threatens all who come into contact with it.",,,,Sarah,,TRUE,TRUE,,118,Steven Spielberg
20,Indiana Jones and the Last Crusade,Disney+,Adventure,Action,8.2,84,,"The intrepid explorer Indiana Jones sets out to rescue his father, a medievalist who has vanished while searching for the Holy Grail. Following clues in the old man's notebook, Indy arrives in Venice, where he enlists the help of a beautiful academic, but they are not the only ones who are on the trail, and some sinister old enemies soon come out of the woodwork.",,,,Sarah,,FALSE,TRUE,,128,Steven Spielberg
21,Indiana Jones and the Kingdom of the Crystal Skull,Disney+,Adventure,Action,6.2,77,,"It's the height of the Cold War, and famous archaeologist Indiana Jones (Harrison Ford), returning from his latest adventure, finds out his job at Marshall College is in jeopardy. He meets Mutt (Shia La Beouf), a young man who wants Indy to help him find the legendary Crystal Skull of Akator, and the pair set out for Peru. However, deadly agent Irina Spalko (Cate Blanchett) is searching for the powerful artifact, too, because the Soviets believe it can help them conquer the world.",,,,Sarah,,FALSE,TRUE,,122,Steven Spielberg
22,Indiana Jones and the Dial of Destiny,Disney+,Adventure,Action,6.8,69,,"Daredevil archaeologist Indiana Jones races against time to retrieve a legendary dial that can change the course of history. Accompanied by his goddaughter, he soon finds himself squaring off against Jürgen Voller, a former Nazi who works for NASA.",,,,Sarah,,FALSE,TRUE,,145,James Mangold
23,National Treasure,Disney+,Adventure,Action,6.9,,,"Historian and code-breaker Ben Gates (Nicolas Cage) has been searching his whole life for a rumored treasure dating back to the creation of the United States. Joining an expedition led by fellow treasure hunter Ian Howe (Sean Bean), Gates finds an ice-locked Colonial ship in the Arctic Circle that contains a clue linking the treasure to the Declaration of Independence. But when Howe betrays him, Gates has to race to get to the document ahead of his so-called colleague.",,,,Sarah,,TRUE,TRUE,,131,Jon Turteltaub
24,National Treasure: Book of Secrets,Disney+,Adventure,Action,6.5,36,,"Ben Gates and his father Patrick are surprised by Mitch Wilkinson's claims that their ancestor was a conspirator in the assassination of Abraham Lincoln based on the missing page of Booth's diary that he possesses. Outraged, together with his wife, Abigail, and his best friend, the writer Riley Poole, they head to France, England and Washington to collect clues to prove his honour.",,,,Sarah,,TRUE,TRUE,,124,Jon Turteltaub
25,National Treasure 3,Disney+,Adventure,Action,,,,,,,,Sarah,,FALSE,TRUE,,,